name,repository,repository_url,category,tool_type,primary_task,verification_status,archived,fork,license_spdx,default_branch,default_branch_head_sha,default_branch_head_date,pushed_at,latest_release_tag,latest_release_published_at,latest_release_prerelease,retrieved_at,error
LLM Guard,protectai/llm-guard,https://github.com/protectai/llm-guard,Input and Output Guardrails,classifier_and_rule_pipeline,scan LLM prompts and outputs,VERIFIED,True,False,MIT,main,168c1034ffdb33837e7ae6fd6a16b80567c1be03,2026-07-08T23:58:39Z,2026-07-08T23:58:40Z,,,,2026-07-31T04:10:24Z,
NeMo Guardrails,NVIDIA-NeMo/Guardrails,https://github.com/NVIDIA-NeMo/Guardrails,Input and Output Guardrails,guardrail_orchestration_framework,define and execute conversational guardrails,VERIFIED,False,False,NOASSERTION,develop,891c13f64e4509294dcaec4c13fe7ca657993099,2026-07-30T12:54:27Z,2026-07-30T20:44:24Z,v0.23.0,2026-07-01T16:22:19Z,False,2026-07-31T04:10:24Z,
Guardrails AI,guardrails-ai/guardrails,https://github.com/guardrails-ai/guardrails,Model Output Validation,validation_framework,validate and structure model outputs,VERIFIED,False,False,Apache-2.0,main,798d2c4574474593114dbd79f9c031982a3289a8,2026-07-27T23:39:56Z,2026-07-29T01:16:51Z,v0.10.2,2026-06-04T19:37:56Z,False,2026-07-31T04:10:24Z,
Rebuff,protectai/rebuff,https://github.com/protectai/rebuff,Prompt Injection Detection,prompt_injection_detector,detect prompt injection attempts,VERIFIED,True,False,Apache-2.0,main,4d2fe064abf164e7381556d23e48e210080f8afa,2024-01-25T19:22:22Z,2024-08-07T23:35:48Z,v0.1.1,2024-01-20T01:11:48Z,False,2026-07-31T04:10:24Z,
Microsoft Presidio,data-privacy-stack/presidio,https://github.com/data-privacy-stack/presidio,PII and Sensitive Data Detection,pii_detection_and_anonymization,detect and anonymize personally identifiable information,VERIFIED,False,False,MIT,main,2bb88d2adca2346959d52a4d48540a5ad8fa481f,2026-07-29T09:07:39Z,2026-07-29T09:07:40Z,2.2.364,2026-07-22T08:30:12Z,False,2026-07-31T04:10:24Z,
scrubadub,LeapBeyond/scrubadub,https://github.com/LeapBeyond/scrubadub,PII and Sensitive Data Detection,pii_text_scrubber,remove personally identifiable information from text,VERIFIED,False,False,Apache-2.0,master,53772cbef417da290d25c95373031f786ab3b5c6,2023-09-01T14:49:12Z,2023-09-01T16:36:30Z,v2.0.1,2023-09-01T14:50:00Z,False,2026-07-31T04:10:24Z,
Gitleaks,gitleaks/gitleaks,https://github.com/gitleaks/gitleaks,Secret and Credential Leakage Detection,secret_scanner,detect secrets in files and repositories,VERIFIED,False,False,MIT,master,b58d3f102cf3a2c84cb7f923d05c25c9b1aed84b,2026-07-22T16:50:33Z,2026-07-29T04:13:17Z,v8.30.1,2026-03-21T02:17:58Z,False,2026-07-31T04:10:24Z,
TruffleHog,trufflesecurity/trufflehog,https://github.com/trufflesecurity/trufflehog,Secret and Credential Leakage Detection,secret_scanner,discover and optionally verify exposed credentials,VERIFIED,False,False,AGPL-3.0,main,d4d6275bc2738abc8091d4f25408f10dcc4b6cd0,2026-07-30T19:28:57Z,2026-07-30T19:29:00Z,v3.96.0,2026-07-24T18:23:23Z,False,2026-07-31T04:10:24Z,
detect-secrets,Yelp/detect-secrets,https://github.com/Yelp/detect-secrets,Secret and Credential Leakage Detection,secret_scanner,detect secrets and maintain baselines,VERIFIED,False,False,Apache-2.0,master,5e141933554a0b74e7341841f318be21e895339c,2026-04-02T17:10:40Z,2026-04-02T17:10:40Z,v1.5.0,2024-05-06T18:05:06Z,False,2026-07-31T04:10:24Z,
ModelScan,protectai/modelscan,https://github.com/protectai/modelscan,AI Model and Dependency Supply Chain Security,model_artifact_scanner,scan machine-learning model files for unsafe content,VERIFIED,False,False,Apache-2.0,main,61fcec9c2a37c24c1fb12d84ede30fe248a364bd,2026-02-18T21:05:38Z,2026-02-18T21:14:19Z,v0.8.8,2026-02-18T21:14:19Z,False,2026-07-31T04:10:24Z,
Fickling,trailofbits/fickling,https://github.com/trailofbits/fickling,AI Model and Dependency Supply Chain Security,pickle_analysis_and_rewriting,analyze and transform Python pickle files,VERIFIED,False,False,LGPL-3.0,master,913249db3bf1b29c562db77402bb3b74d0c95937,2026-07-30T14:57:07Z,2026-07-30T14:57:08Z,v0.1.12,2026-06-26T23:55:21Z,False,2026-07-31T04:10:24Z,
safetensors,safetensors/safetensors,https://github.com/safetensors/safetensors,AI Model and Dependency Supply Chain Security,safe_model_serialization_format,store tensors without executable pickle semantics,VERIFIED,False,False,Apache-2.0,main,6eb4dc9a28ebce297606e0f4836bbf28839cacef,2026-06-16T13:15:48Z,2026-07-22T14:18:23Z,v0.8.0,2026-06-09T08:34:30Z,False,2026-07-31T04:10:24Z,
Bandit,PyCQA/bandit,https://github.com/PyCQA/bandit,AI-Generated Code Security Scanning,python_static_analyzer,find common security issues in Python code,VERIFIED,False,False,Apache-2.0,main,8f2376625dedf1ded2e62b4f856644eaf85f6f5c,2026-07-27T22:43:55Z,2026-07-27T22:43:57Z,1.9.4,2026-02-25T06:37:44Z,False,2026-07-31T04:10:24Z,
Semgrep,semgrep/semgrep,https://github.com/semgrep/semgrep,AI-Generated Code Security Scanning,multi_language_static_analyzer,scan source code with structural rules,VERIFIED,False,False,LGPL-2.1,develop,c83065a896af2594b284d65c3b193e6736d98d38,2026-07-29T17:24:19Z,2026-07-31T00:23:11Z,v1.172.0,2026-07-28T22:40:28Z,False,2026-07-31T04:10:24Z,
OSV-Scanner,google/osv-scanner,https://github.com/google/osv-scanner,AI Model and Dependency Supply Chain Security,dependency_vulnerability_scanner,identify known vulnerabilities in dependencies,VERIFIED,False,False,Apache-2.0,main,22613e79b26132083987bbe6eb29b1e48e241d3d,2026-07-30T03:55:48Z,2026-07-30T21:19:59Z,v2.4.0,2026-06-18T13:35:18Z,False,2026-07-31T04:10:24Z,
garak,NVIDIA/garak,https://github.com/NVIDIA/garak,AI Red-Team and Evaluation Frameworks,llm_vulnerability_scanner,probe language models for failure modes,VERIFIED,False,False,Apache-2.0,main,0b51f87acda1c0ab22a88dff6fd304f3299c9ce4,2026-07-28T15:43:03Z,2026-07-28T15:43:04Z,v0.15.1,2026-06-05T17:24:50Z,False,2026-07-31T04:10:24Z,
promptfoo,promptfoo/promptfoo,https://github.com/promptfoo/promptfoo,AI Red-Team and Evaluation Frameworks,evaluation_and_red_team_framework,test and red-team LLM applications,VERIFIED,False,False,MIT,main,82ca3c24ec445cf1734face46042c187b659b954,2026-07-31T03:53:52Z,2026-07-31T03:57:09Z,0.121.20,2026-07-31T03:54:07Z,False,2026-07-31T04:10:24Z,
PyRIT,microsoft/PyRIT,https://github.com/microsoft/PyRIT,AI Red-Team and Evaluation Frameworks,generative_ai_red_team_framework,orchestrate risk identification and red-team tests,VERIFIED,False,False,MIT,main,2ee237d137f40007294d16849fbf626abc1ccdf4,2026-07-30T23:45:13Z,2026-07-31T00:03:28Z,v1.0.1,2026-07-30T05:11:54Z,False,2026-07-31T04:10:24Z,
Giskard,Giskard-AI/giskard-oss,https://github.com/Giskard-AI/giskard-oss,AI Red-Team and Evaluation Frameworks,model_testing_framework,test ML and LLM applications for quality and security risks,VERIFIED,False,False,Apache-2.0,main,8aafe589261a64a859c2d6d236e4f04d3d990c4c,2026-07-23T07:22:17Z,2026-07-29T19:48:05Z,giskard-scan/v1.0.0b3,2026-07-13T08:49:31Z,False,2026-07-31T04:10:24Z,
PurpleLlama,meta-llama/PurpleLlama,https://github.com/meta-llama/PurpleLlama,AI Red-Team and Evaluation Frameworks,safety_evaluation_toolkit,provide tools and evaluations for responsible generative AI development,VERIFIED,False,False,NOASSERTION,main,acfdd58f7c605eec53af4eed3f7ecf302267f0f8,2026-07-27T21:47:41Z,2026-07-27T21:53:59Z,,,,2026-07-31T04:10:24Z,
